Test Data
16
133
Percentage_Povety	Per_Captial_Income	Percentage_Female	Percentage_Children	Percentage_Elderly	Percentage_Low_Education	Percentage_Umemployed	Percentage_Black	Percentage_Asian	Percentage_Hispanic	Percentage_Female_Headed_Households	Percentage_Single_Parent_Households	Percentage_Disables	Percentage_English_Deficiency	Percentage_Household_With_No_Vehichles	Percentage_Renters
191130001001	-0.423	1.147	0.051	1.055	-0.700	-0.902	-0.562	-0.523	0.157	-0.607	-0.823	-0.974	-1.310	0.232	-0.779	-0.665
191130001002	2.055	-1.277	1.215	-0.218	0.575	1.005	2.728	-0.412	-0.463	1.089	1.155	1.555	0.641	0.126	0.309	-1.025
191130001003	-0.314	3.282	-0.392	-0.507	0.183	0.176	-0.166	-0.538	-0.686	-0.769	-0.474	-0.277	0.944	-0.709	-0.830	-0.642
191130002011	-0.589	-0.049	1.092	-1.111	0.773	-0.007	-0.028	-0.276	-0.281	-0.604	0.845	0.771	0.269	1.168	-0.435	-0.493
191130002012	0.001	0.028	-0.322	-1.024	-1.365	-0.033	1.048	0.269	0.593	1.041	0.616	0.539	0.138	-0.063	-0.513	2.305
191130002013	-0.789	0.193	0.099	-0.391	0.426	0.518	-0.780	-0.335	-0.713	-0.826	0.143	0.015	0.149	1.897	0.156	0.069
191130002014	-0.774	0.327	-0.144	0.687	-1.118	-0.384	-0.322	-0.213	0.504	-0.676	-0.646	-0.567	-0.679	0.632	-0.530	0.369
191130002031	-0.796	0.124	-0.500	1.689	-1.573	-1.359	-0.690	-0.538	0.024	-0.156	-0.535	-0.377	-1.286	-0.237	-0.439	-0.336
191130002032	-0.962	1.495	-0.502	3.034	-1.973	-1.535	-0.479	-0.440	1.105	-0.227	-1.253	-1.500	-1.098	0.943	-0.830	-1.220
191130002033	-0.971	0.275	-0.332	1.277	-0.611	-1.305	0.846	-0.477	0.462	0.489	-0.692	-0.870	-1.668	-0.709	-0.830	-1.028
191130002041	-0.903	0.878	-1.146	1.604	-1.214	-0.929	-0.347	-0.583	-0.425	0.239	-1.490	-1.511	-1.339	0.642	-0.691	-1.070
191130002042	-0.338	0.288	0.820	0.997	-0.903	-0.811	-0.394	0.054	0.681	-0.328	-0.308	-0.449	-1.122	1.356	-0.605	0.189
191130002043	-1.047	-0.050	-0.371	1.139	-1.493	-1.188	-0.688	0.256	0.882	0.391	-0.503	-0.247	-1.225	0.035	-0.484	-0.791
191130002044	1.686	-0.849	-1.820	-1.007	-1.522	-0.346	0.651	0.793	3.735	2.617	0.019	0.462	0.358	2.546	0.092	3.343
191130002051	-0.596	2.106	-0.329	1.200	-1.226	-0.999	-0.331	-0.553	-0.124	-0.500	-1.183	-1.171	-0.687	-0.709	-0.726	-1.160
191130003001	-0.278	-0.235	-0.017	0.050	-0.304	-0.224	-0.063	-0.452	-0.038	-0.575	0.307	0.483	0.003	-0.709	-0.505	0.199
191130003002	-0.985	0.381	-0.367	0.338	-0.889	-0.697	-1.035	-0.318	-0.276	-0.716	-0.715	-0.833	-0.862	-0.709	0.098	-0.502
191130003003	-0.115	-0.002	0.820	-0.543	-0.052	-0.204	-0.555	-0.434	-0.445	-0.099	-0.799	-0.575	0.497	0.048	0.269	-0.037
191130004001	0.269	0.070	-0.217	0.554	0.204	-0.904	-1.277	-0.564	0.104	-0.876	-0.601	-0.768	-1.134	-0.709	-0.551	-1.204
191130004002	-0.939	0.124	-0.576	0.264	0.681	-1.107	-0.907	-0.591	-0.671	-1.117	-1.256	-1.443	-0.359	-0.709	-0.175	-1.220
191130004003	-0.873	-0.063	0.282	-0.128	1.050	-0.696	-0.465	-0.627	-0.707	-0.652	-0.823	-0.929	-0.825	0.131	-0.361	-1.101
191130004004	-0.775	-0.380	0.949	0.117	0.180	-0.487	-0.855	-0.591	-0.484	-0.310	0.122	-0.004	-0.143	1.623	0.032	-0.182
191130004005	-0.337	0.131	0.175	-0.881	0.933	0.135	-0.573	-0.573	-0.346	-0.797	-0.535	-0.558	0.187	-0.709	-0.026	-0.039
191130005001	-0.143	-0.046	-0.169	0.374	0.243	1.018	1.280	-0.593	-0.144	-0.673	1.233	1.352	0.325	-0.709	0.198	-0.059
191130005002	-0.066	-0.351	-0.691	-0.162	0.429	0.263	-0.245	-0.288	-0.672	0.241	0.102	-0.068	1.139	0.125	0.449	0.372
191130005003	-0.479	0.656	-0.218	-0.349	-0.401	0.127	0.183	-0.485	-0.257	-0.444	-0.423	-0.601	-0.272	1.002	-0.109	0.844
191130006001	-0.300	1.140	2.237	-1.695	2.544	0.425	-0.860	-0.515	0.751	-0.324	-0.400	-0.578	1.322	-0.066	0.179	0.850
191130006002	0.360	0.321	0.812	-0.380	0.279	-0.387	-0.752	-0.507	-0.451	-0.280	-0.750	-0.796	-0.334	-0.263	-0.546	-0.525
191130007001	-0.533	0.053	-0.433	-1.142	0.434	-0.843	-0.695	-0.003	-0.127	0.662	-0.665	-0.582	-1.043	-0.709	-0.059	0.367
191130007002	0.550	0.487	1.516	-1.091	0.590	0.055	-0.358	-0.112	-0.137	-0.788	-0.440	-0.544	0.453	1.426	1.291	1.000
191130008001	-0.958	0.513	-0.011	-0.830	1.795	-0.497	-0.531	-0.264	-0.705	-0.420	-0.568	-0.483	0.789	-0.709	-0.352	-0.869
191130008002	0.358	0.466	-1.651	-0.857	-0.605	-0.796	0.768	1.398	1.645	1.440	0.087	0.261	1.114	-0.709	0.168	2.122
191130008003	-0.698	0.050	0.200	-1.102	0.769	-0.476	-1.277	-0.319	0.413	0.433	0.082	-0.153	-0.159	-0.709	0.455	0.347
191130008004	-0.289	-0.486	-0.844	-0.871	0.821	-0.795	-0.936	-0.224	0.022	-0.714	-0.257	-0.103	0.165	-0.709	1.327	0.341
191130009011	0.072	-0.454	-0.027	1.776	-1.817	-0.780	1.676	0.270	0.417	0.717	1.755	1.614	-1.189	-0.709	-0.233	-0.346
191130009012	-0.831	0.801	0.500	-0.348	0.946	-0.880	-0.471	-0.426	-0.059	-0.061	-0.631	-0.854	-0.959	-0.709	-0.679	-1.100
191130009013	0.038	0.612	-0.733	-0.438	-0.116	-0.892	-0.569	0.012	-0.290	0.119	-0.043	-0.012	-0.680	-0.709	-0.278	0.321
191130009014	-0.661	1.075	-0.418	0.742	0.535	-1.444	-0.107	-0.356	-0.357	-0.735	-1.210	-1.282	-1.461	-0.245	-0.830	-1.217
191130009021	-0.902	2.417	0.211	0.399	0.309	-1.074	-1.014	-0.475	0.124	-0.367	-1.368	-1.494	-1.417	0.298	-0.755	-1.197
191130009022	-0.921	0.900	-0.821	-1.045	-0.450	-0.951	-0.090	-0.282	1.199	-0.480	-1.176	-1.225	-0.759	-0.312	-0.022	0.429
191130010011	-0.799	0.483	-0.455	-0.145	-0.600	-0.303	-0.860	-0.208	0.059	-0.525	-0.722	-0.683	-0.482	1.319	-0.404	0.014
191130010012	-0.755	0.113	-0.532	1.794	-1.250	-1.142	-0.475	-0.454	0.703	0.010	-0.800	-0.694	-1.478	-0.395	-0.830	-1.156
191130010021	-0.731	-0.381	0.152	0.706	-0.366	-1.105	-1.277	-0.377	0.426	-0.784	0.216	0.184	-1.310	-0.709	-0.455	-0.971
191130010022	-0.771	-0.342	-0.452	0.002	0.574	0.739	-0.896	-0.542	-0.210	-0.385	-0.197	-0.098	0.056	0.634	-0.830	-1.026
191130010023	-0.324	0.191	0.471	-0.442	-0.522	-1.196	-0.937	-0.260	1.887	0.638	-0.427	-0.431	-0.324	-0.709	-0.830	0.615
191130010031	-1.047	-0.129	-0.050	-0.429	0.754	-0.310	-1.277	-0.375	-0.645	-1.027	-0.348	-0.076	-0.190	-0.709	-0.830	-0.950
191130010032	-0.656	0.021	0.287	-0.557	0.814	-0.700	-0.733	-0.405	-0.239	-0.622	-0.570	-0.931	0.594	-0.709	-0.412	-0.080
191130010033	1.195	-0.985	2.057	0.236	-0.347	-0.550	1.162	0.777	0.234	-0.274	1.823	1.417	0.196	-0.219	0.300	1.604
191130010034	2.032	-1.084	0.308	-1.485	0.805	0.575	0.190	0.448	0.282	1.276	0.504	0.461	0.743	-0.025	1.015	2.280
191130011001	0.154	0.539	-1.405	-1.069	-0.723	-1.366	0.725	-0.427	1.722	0.743	-1.158	-1.091	-1.309	0.489	-0.146	1.142
191130011002	-0.249	0.040	-0.635	0.439	-1.289	-0.192	-0.495	-0.335	-0.046	0.008	-0.119	-0.052	-1.006	2.312	-0.686	-0.311
191130011003	-0.297	0.125	1.701	-1.112	3.033	-0.096	0.644	-0.457	-0.628	-0.142	-0.236	-0.168	0.125	-0.709	0.747	-0.367
191130011004	-1.047	0.336	-0.244	0.057	-0.275	-0.002	-0.382	-0.339	-0.018	-0.858	-0.225	-0.153	-0.349	-0.709	-0.681	-0.524
191130011005	-0.853	0.457	-0.427	-0.740	0.404	-0.132	-0.037	-0.231	0.116	-0.424	0.129	0.087	-0.661	-0.240	-0.102	-0.141
191130012001	-0.550	-0.224	0.211	-0.660	0.894	0.630	-0.935	-0.373	-0.464	0.324	0.165	0.369	1.046	-0.709	-0.610	-0.617
191130012002	-0.034	-1.001	-0.047	1.114	-0.670	1.858	1.197	-0.335	-0.158	-0.478	1.698	2.303	0.477	-0.709	-0.015	-0.109
191130012003	1.019	-0.970	0.198	0.707	-0.637	0.807	1.115	0.080	-0.184	1.235	1.517	1.757	0.757	-0.709	0.348	0.342
191130013001	-0.092	-0.318	-0.777	-1.026	-0.300	0.341	0.062	-0.313	-0.101	0.060	0.399	0.461	0.464	0.407	-0.286	1.186
191130013002	0.389	-0.826	3.938	-2.571	0.041	0.124	0.455	-0.188	-0.254	0.190	-0.411	-0.533	-0.492	-0.172	1.181	1.178
191130013003	1.141	-0.532	-0.408	-0.138	-0.565	1.430	-0.944	0.134	-0.501	0.384	1.192	1.491	0.354	-0.709	0.324	0.203
191130014001	-0.173	-0.045	-0.092	-0.706	-0.435	0.026	0.411	-0.154	-0.371	0.515	-0.474	-0.400	0.366	-0.301	0.693	0.566
191130014002	-0.352	-0.406	0.313	-0.901	0.523	-0.424	0.105	-0.249	0.053	0.635	-0.150	-0.088	-0.568	-0.709	-0.691	-0.168
191130014003	-0.996	0.306	0.831	-0.627	1.544	-0.605	-0.663	-0.380	-0.524	-0.539	-0.360	-0.506	-0.476	-0.709	-0.294	-0.967
191130015001	0.126	0.382	0.201	-0.286	-0.760	-0.281	-0.606	0.238	0.152	0.541	0.656	0.377	0.307	-0.709	0.211	0.873
191130015002	-0.938	2.814	1.607	-0.938	3.348	-1.136	-0.677	-0.590	-0.191	-1.164	-1.527	-1.709	-0.007	-0.709	0.351	-0.801
191130016001	-0.535	3.805	-0.132	-0.129	0.662	-1.209	-0.016	-0.369	-0.609	-0.725	-1.331	-1.455	0.230	-0.709	-0.533	-0.995
191130016002	-0.977	-0.002	0.413	-0.029	0.453	-0.484	-0.719	-0.381	-0.490	0.142	0.216	-0.099	0.102	-0.709	0.405	-0.904
