Test Data 2
16
30
Percentage_Povety	Per_Captial_Income	Percentage_Female	Percentage_Children	Percentage_Elderly	Percentage_Low_Education	Percentage_Umemployed	Percentage_Black	Percentage_Asian	Percentage_Hispanic	Percentage_Female_Headed_Households	Percentage_Single_Parent_Households	Percentage_Disables	Percentage_English_Deficiency	Percentage_Household_With_No_Vehichles	Percentage_Renters
191130001003	-0.842	-3.194	-0.230	-0.292	0.298	-0.617	-0.448	-0.726	-0.556	-1.182	-0.930	-0.792	0.160	-0.742	-0.858	-1.035
191130009021	-1.309	-2.431	0.301	0.582	0.427	-1.662	-1.050	-0.671	-0.075	-0.815	-1.667	-1.835	-1.909	0.041	-0.808	-1.562
191130010011	-1.227	-0.727	-0.286	0.057	-0.509	-1.017	-0.940	-0.435	-0.114	-0.959	-1.135	-1.139	-1.089	0.836	-0.575	-0.413
191130011001	-0.470	-0.777	-1.124	-0.834	-0.636	-1.906	0.185	-0.628	0.874	0.197	-1.494	-1.490	-1.814	0.190	-0.405	0.659
191130011003	-0.829	-0.412	1.616	-0.875	3.234	-0.844	0.128	-0.654	-0.522	-0.610	-0.733	-0.698	-0.558	-0.742	0.187	-0.774
191130012001	-1.030	-0.104	0.302	-0.440	1.030	-0.236	-0.994	-0.580	-0.424	-0.185	-0.403	-0.237	0.250	-0.742	-0.712	-1.012
191130012002	-0.620	0.580	0.074	1.271	-0.582	0.790	0.521	-0.547	-0.242	-0.916	0.860	1.422	-0.249	-0.742	-0.318	-0.529
191130012003	0.217	0.553	0.290	0.879	-0.547	-0.088	0.462	-0.180	-0.258	0.647	0.711	0.953	-0.003	-0.742	-0.078	-0.101
191130013001	-0.666	-0.021	-0.570	-0.792	-0.200	-0.478	-0.286	-0.527	-0.209	-0.426	-0.210	-0.159	-0.260	0.126	-0.497	0.701
191130013003	0.313	0.167	-0.244	0.064	-0.473	0.432	-1.000	-0.133	-0.446	-0.130	0.443	0.725	-0.357	-0.742	-0.093	-0.232
191130019001	2.733	1.730	0.021	-2.130	-2.085	2.027	3.601	0.152	0.447	2.132	0.614	0.436	0.020	0.839	0.696	1.152
191130019003	0.478	-0.516	-2.374	-3.014	0.878	0.657	0.091	0.616	4.440	-0.223	-1.834	-1.852	0.696	-0.742	0.276	2.804
191130022001	0.195	0.304	-2.952	-0.412	-1.100	0.666	1.028	1.057	0.998	2.658	1.160	1.107	0.656	4.079	1.885	1.544
191130022002	-0.247	0.969	-0.263	1.434	-0.875	0.467	0.750	0.268	0.376	0.750	0.741	0.942	0.114	-0.107	-0.011	0.280
191130023001	-0.871	0.597	0.800	0.588	0.127	-0.017	0.024	-0.135	0.129	-0.006	1.015	1.201	0.184	1.449	-0.212	0.098
191130024001	-0.940	-0.139	0.337	-0.094	0.576	-0.649	-0.138	-0.463	-0.503	-0.117	0.425	0.228	0.754	0.417	-0.345	-0.788
191130025001	0.286	-0.005	0.116	0.418	-0.218	0.409	-1.054	-0.264	-0.366	-0.695	0.331	0.509	0.589	0.206	-0.042	-0.228
191130025002	1.000	0.869	0.391	-0.127	0.195	0.112	-0.624	-0.241	-0.304	0.111	0.052	0.257	1.465	-0.172	0.496	-0.098
191130026001	0.596	0.467	0.933	-0.517	0.860	-0.083	-0.765	-0.061	-0.558	0.137	0.152	-0.183	-0.136	0.238	0.871	1.056
191130026002	0.090	0.616	0.212	0.537	-0.114	0.509	0.019	-0.488	-0.556	-0.324	-0.168	0.073	0.597	0.199	0.147	-0.430
191130027001	1.441	1.438	1.222	1.371	0.461	2.217	2.469	3.851	-0.537	2.736	2.122	1.826	1.267	-0.742	1.349	0.531
191130027002	2.367	1.065	1.438	-0.502	1.637	1.868	-0.247	2.542	1.752	0.363	-0.153	-0.467	3.151	0.123	3.978	2.004
191130028003	-0.199	-0.754	-0.103	0.935	-0.215	-0.878	-0.277	0.492	-0.563	-0.105	0.011	-0.063	-1.392	-0.742	-0.679	-0.495
191130029001	-0.961	-0.399	0.157	-0.314	1.370	-0.077	-0.488	-0.629	-0.296	-0.386	-0.495	-0.422	0.084	1.125	-0.473	-1.194
191130029003	0.770	0.624	1.298	1.373	-0.106	-0.231	-0.171	0.562	-0.452	-0.325	2.240	1.686	-0.616	0.207	-0.632	0.760
191130030021	0.896	-0.373	0.782	-0.422	-0.821	-0.813	-0.193	-0.706	-0.499	-0.969	0.061	-0.020	-0.879	-0.742	-0.506	-0.461
191130030022	-0.316	0.516	-1.122	0.736	-0.433	1.039	0.557	-0.327	-0.401	0.043	-0.054	0.093	0.595	-0.742	-0.713	-0.325
191130030023	0.459	-0.293	0.254	0.036	-0.507	0.418	-0.010	0.235	-0.105	0.618	0.504	0.314	-0.034	-0.742	-0.308	-0.088
191130105002	-0.792	-0.075	-0.798	-0.506	-0.935	-1.257	-0.601	-0.658	-0.484	-1.112	-1.435	-1.578	-0.560	-0.693	-0.839	-1.258
191130107003	-0.518	-0.274	-0.477	0.992	-0.737	-0.759	-0.550	-0.720	-0.547	-0.907	-0.732	-0.836	-0.725	-0.199	-0.781	-0.570
